Loan_ID,Borrower_ID,Loan_Amount,Interest_Rate,Loan_Term_Months,Annual_Revenue,EBITDA,Debt_to_Equity,Current_Ratio,Credit_Score,Collateral_Value,Origination_Date,Default,LTV_Ratio,Debt_Service_Coverage,Months_Since_Origination,Delinquency_Days,annual_turnover,monthly_sales,sales_growth_3m,days_past_due,gst_delay_days,cash_flow_3m_trend,cash_flow_6m_trend,industry_risk_score,Loan_Purpose_Expansion,Loan_Purpose_Inventory,Loan_Purpose_Other,Loan_Purpose_Real Estate,Loan_Purpose_Working Capital,Industry_Construction,Industry_Healthcare,Industry_Manufacturing,Industry_Retail,Industry_Services,Industry_Technology,Industry_Transportation
LOAN_000582,BORR_000582,420488,12.02,120,1532528,15010,0.89,1.51,688,16888,2021-08-17,0,2.0,1.95,9,12,1531396,126201,-0.0596,18,46,0.0859,-0.0681,4.2,0,0,0,1,0,0,1,0,0,0,0,0
LOAN_000583,BORR_000583,4906342,8.85,12,845252,91237,2.45,2.39,715,199264,2020-12-17,0,2.0,0.5,40,5,830777,70722,0.0118,16,0,0.2825,-0.3276,6.3,1,0,0,0,0,0,0,1,0,0,0,0
LOAN_000584,BORR_000584,213800,7.73,84,1002876,509984,1.36,1.11,642,33483,2025-05-01,1,2.0,5.0,16,107,1016254,85696,-0.0166,333,49,-0.2102,0.0847,5.9,0,0,1,0,0,0,0,0,0,0,1,0
LOAN_000585,BORR_000585,236175,7.23,36,142030,15343,1.22,2.31,542,119802,2020-02-27,1,1.97,1.92,10,92,138339,10706,0.0061,148,63,-0.292,0.0615,7.3,0,0,1,0,0,0,0,0,1,0,0,0
LOAN_000586,BORR_000586,81712,6.33,12,1309420,291610,1.38,3.25,766,85273,2024-05-12,0,0.96,5.0,36,5,1253882,86727,0.0607,27,0,-0.0451,0.1289,3.5,0,0,0,0,0,0,0,0,0,0,1,0
LOAN_000587,BORR_000587,45489,6.92,84,1389848,118243,0.85,1.28,725,270706,2023-03-11,0,0.17,5.0,16,13,1338267,129171,0.1714,3,68,-0.092,0.0532,8.1,0,1,0,0,0,1,0,0,0,0,0,0
LOAN_000588,BORR_000588,565521,5.04,36,1649726,200082,0.74,3.11,587,40012,2020-08-16,0,2.0,5.0,29,5,1588363,148388,-0.1238,29,9,0.1096,0.0648,5.5,0,0,0,0,0,0,0,1,0,0,0,0
LOAN_000589,BORR_000589,45065,7.82,12,6787360,157270,2.76,1.98,621,308240,2025-03-29,0,0.15,5.0,5,0,6551093,467207,-0.0663,22,72,-0.0927,-0.0505,2.2,0,0,0,0,1,0,0,0,0,1,0,0
LOAN_000590,BORR_000590,181198,4.4,24,483279,159019,3.79,1.67,650,311008,2021-01-29,0,0.58,5.0,24,27,465824,43116,-0.0897,24,48,0.0186,-0.0369,5.0,0,0,0,1,0,0,0,0,0,1,0,0
LOAN_000591,BORR_000591,79500,6.05,60,2159321,158094,2.91,0.95,754,13495,2023-01-04,0,2.0,5.0,23,17,2189740,191664,-0.3432,5,13,-0.0473,-0.0506,6.9,0,0,0,0,1,0,0,0,1,0,0,0
LOAN_000592,BORR_000592,333857,12.21,120,1796529,683962,1.59,2.23,687,112498,2025-05-14,0,2.0,5.0,53,29,1739377,139680,0.0413,13,59,0.0675,-0.0072,5.0,1,0,0,0,0,0,1,0,0,0,0,0
LOAN_000593,BORR_000593,268469,7.58,24,2076798,170276,1.67,1.34,750,49470,2021-03-28,0,2.0,5.0,34,20,2044746,153630,0.1602,8,81,0.05,0.1303,3.0,1,0,0,0,0,0,1,0,0,0,0,0
LOAN_000594,BORR_000594,771668,11.35,48,828604,610934,2.39,3.34,624,31109,2023-09-20,0,2.0,5.0,4,27,861482,82120,0.1725,5,41,0.1345,0.0554,4.0,0,0,0,1,0,0,0,1,0,0,0,0
LOAN_000595,BORR_000595,75733,11.89,24,3006241,91816,3.53,1.44,737,558392,2022-11-11,0,0.14,5.0,53,11,2998413,269875,-0.1106,9,58,-0.0512,0.08,5.7,0,0,0,0,0,0,0,1,0,0,0,0
LOAN_000596,BORR_000596,108574,10.39,60,501207,696093,1.21,2.38,733,81338,2020-07-15,0,1.33,5.0,28,5,509605,43278,-0.1678,24,24,-0.0224,0.0799,6.4,1,0,0,0,0,0,0,0,0,0,0,1
LOAN_000597,BORR_000597,37490,14.55,24,684422,119741,2.14,2.31,697,10204,2022-05-22,0,2.0,5.0,5,24,661994,57583,0.0232,5,35,-0.1075,0.1377,4.3,0,1,0,0,0,0,0,0,0,0,1,0
LOAN_000598,BORR_000598,83580,4.24,24,962945,121583,2.25,1.71,518,106601,2022-10-20,0,0.78,5.0,52,28,933314,65054,0.1444,29,34,-0.0433,0.0482,6.8,0,0,0,1,0,0,0,0,1,0,0,0
LOAN_000599,BORR_000599,286630,12.13,24,913189,16166,3.76,3.1,703,67357,2021-04-07,0,2.0,1.09,47,1,871261,71847,0.0432,8,85,0.0553,0.0588,6.4,0,0,0,0,1,1,0,0,0,0,0,0
LOAN_000600,BORR_000600,506602,14.55,48,1882917,50333,2.38,1.29,667,17942,2023-10-30,0,2.0,3.01,36,24,1820580,133126,0.0634,12,10,0.1008,0.1833,5.4,0,1,0,0,0,0,0,1,0,0,0,0
LOAN_000601,BORR_000601,40812,13.48,84,1643518,65390,3.23,3.01,850,197278,2025-06-11,0,0.21,5.0,9,3,1607128,118305,0.1913,15,9,-0.1007,-0.0948,6.5,0,0,1,0,0,0,0,0,1,0,0,0
LOAN_000602,BORR_000602,599834,5.85,48,1660462,15494,0.81,1.36,697,125591,2023-06-26,1,2.0,1.0,48,158,1606830,142542,-0.0086,355,96,-0.1247,-0.019,7.1,0,0,0,1,0,0,0,0,0,0,0,1
LOAN_000603,BORR_000603,1243520,7.6,12,5874321,53001,1.64,0.91,594,6622,2025-02-10,0,2.0,0.5,17,3,5632711,546608,-0.013,15,22,0.1727,-0.1729,5.4,0,1,0,0,0,0,0,0,0,0,0,0
LOAN_000604,BORR_000604,302595,5.9,48,937041,397532,2.64,3.35,709,99175,2021-07-20,1,2.0,5.0,46,130,901493,72232,-0.2275,281,113,-0.1338,-0.2552,5.2,0,0,0,1,0,0,0,1,0,0,0,0
LOAN_000605,BORR_000605,2717420,10.61,60,4271487,458404,2.87,2.52,607,22412,2024-12-14,0,2.0,5.0,3,14,4254733,313112,-0.0095,4,77,0.2352,-0.2731,6.2,0,0,0,0,1,0,0,0,0,1,0,0
LOAN_000606,BORR_000606,50986,11.83,24,335229,18200,3.6,2.5,650,72458,2024-06-26,0,0.7,5.0,2,11,325384,28728,-0.1701,10,87,-0.0829,0.0743,5.2,0,0,0,0,0,0,0,1,0,0,0,0
LOAN_000607,BORR_000607,25160,7.49,12,1031020,1413053,2.57,1.52,530,20040,2020-11-01,0,1.26,5.0,17,5,1017025,97335,-0.0804,20,63,-0.1394,-0.0114,4.4,0,0,0,1,0,0,1,0,0,0,0,0
LOAN_000608,BORR_000608,11292,9.93,24,1109647,484448,1.51,1.18,714,115931,2021-03-26,0,0.1,5.0,54,15,1110026,101690,-0.1207,14,72,-0.2034,0.1752,4.3,1,0,0,0,0,0,0,0,0,1,0,0
LOAN_000609,BORR_000609,1535039,11.6,60,250212,2432388,2.39,2.71,540,148797,2021-10-30,0,2.0,5.0,11,21,254975,24382,0.0736,28,45,0.1895,-0.0958,6.1,0,0,0,0,1,0,0,0,0,1,0,0
LOAN_000610,BORR_000610,434325,8.63,48,1269370,685879,2.99,2.2,676,30849,2021-02-11,0,2.0,5.0,10,17,1210891,102383,-0.1144,25,37,0.0885,-0.0255,5.1,0,0,0,0,1,0,0,0,0,0,0,0
LOAN_000611,BORR_000611,149735,13.39,48,1381885,1904148,3.25,1.66,621,26230,2023-02-06,0,2.0,5.0,27,28,1423260,130554,0.0607,29,24,0.0033,0.1733,6.9,0,1,0,0,0,0,0,0,1,0,0,0
LOAN_000612,BORR_000612,247694,12.49,24,2462809,280499,3.81,1.66,637,46055,2020-10-03,0,2.0,5.0,43,28,2494308,177932,-0.0904,7,85,0.0436,0.2125,3.7,1,0,0,0,0,0,1,0,0,0,0,0
LOAN_000613,BORR_000613,30084,4.71,36,2144784,59318,1.17,3.2,688,98137,2020-08-29,0,0.31,5.0,26,21,2055080,160863,-0.2985,14,1,-0.1251,-0.097,6.2,0,1,0,0,0,0,0,0,0,0,0,1
LOAN_000614,BORR_000614,6379676,10.83,120,259633,228592,2.81,3.2,550,31994,2020-12-27,0,2.0,2.06,29,19,269332,21452,0.066,10,88,0.3035,0.0323,5.0,0,0,1,0,0,0,1,0,0,0,0,0
LOAN_000615,BORR_000615,197566,6.59,24,5051172,8870,1.2,1.54,739,50796,2023-08-11,0,2.0,0.95,21,2,5263761,440628,0.0423,28,23,0.0255,0.0492,5.8,0,0,0,0,1,0,0,0,0,0,0,0
LOAN_000616,BORR_000616,191777,10.13,84,690419,132038,1.61,2.94,620,7278,2024-10-11,0,2.0,5.0,11,15,660114,64450,0.0977,12,66,0.0231,0.061,4.5,0,0,0,1,0,0,0,0,0,1,0,0
LOAN_000617,BORR_000617,483424,14.53,48,581985,153463,1.0,1.41,754,74841,2020-06-27,0,2.0,5.0,54,20,568999,54515,-0.0809,26,89,0.0971,-0.0344,7.7,0,0,1,0,0,0,0,0,0,0,0,1
LOAN_000618,BORR_000618,334875,13.67,24,2165821,570968,3.21,2.98,563,24101,2023-10-08,0,2.0,5.0,4,0,2232138,158818,-0.0969,22,70,0.0677,0.1972,5.9,1,0,0,0,0,0,0,0,0,0,0,0
LOAN_000619,BORR_000619,227709,8.45,48,3339308,213030,3.7,1.14,662,86107,2020-11-24,0,2.0,5.0,30,20,3422209,247858,0.0802,1,60,0.0369,-0.2785,6.4,0,0,0,0,1,0,0,0,1,0,0,0
LOAN_000620,BORR_000620,49726,7.21,84,682450,91703,0.6,2.85,645,112740,2023-07-28,0,0.44,5.0,48,22,660920,51940,0.2479,26,8,-0.0849,-0.0582,4.6,1,0,0,0,0,0,0,0,0,0,0,1
LOAN_000621,BORR_000621,330117,6.58,36,1140277,26450,3.35,2.3,745,190856,2023-09-21,0,1.73,2.41,38,7,1107134,84538,0.0217,1,44,0.0666,0.0722,5.6,0,0,1,0,0,0,0,0,0,0,0,1
LOAN_000622,BORR_000622,2738817,9.86,84,3588924,61190,1.35,1.12,761,49543,2020-04-22,0,2.0,1.11,4,13,3542437,308755,0.0837,22,15,0.2358,0.0736,4.2,0,0,0,1,0,0,1,0,0,0,0,0
LOAN_000623,BORR_000623,1224606,5.26,36,393658,121640,2.2,2.46,742,25090,2025-02-24,0,2.0,3.09,3,27,393048,38031,-0.0282,25,13,0.1715,0.2079,5.6,0,0,0,0,0,0,0,0,0,0,0,0
LOAN_000624,BORR_000624,1775832,10.04,48,41843,65208,3.12,1.32,719,466772,2020-09-30,0,2.0,1.26,41,27,42337,4180,-0.2115,11,25,0.2012,0.1847,5.6,0,1,0,0,0,0,0,0,0,0,1,0
LOAN_000625,BORR_000625,75597,4.01,60,2292810,5383,2.27,1.32,596,258291,2021-05-03,0,0.29,3.56,25,3,2262754,200148,0.1651,25,45,-0.0513,-0.0378,3.9,0,1,0,0,0,0,0,0,0,0,0,0
LOAN_000626,BORR_000626,36886,7.56,84,3605640,160303,1.31,2.01,654,50189,2022-01-19,0,0.73,5.0,4,26,3592131,339834,0.1563,19,57,-0.1088,0.2,7.1,0,0,1,0,0,1,0,0,0,0,0,0
LOAN_000627,BORR_000627,134769,6.42,48,177513,88792,3.67,3.4,751,257852,2025-01-21,0,0.52,5.0,17,20,181905,15311,0.1266,21,73,-0.0051,-0.1021,6.3,0,0,0,0,1,1,0,0,0,0,0,0
LOAN_000628,BORR_000628,176943,14.68,48,1173798,86657,2.58,3.21,606,145365,2024-02-29,0,1.22,5.0,3,13,1119413,82400,-0.0073,8,29,0.0167,0.1446,2.9,0,0,0,0,1,0,0,0,0,0,1,0
LOAN_000629,BORR_000629,840109,12.0,12,661556,201463,3.76,3.03,641,638278,2024-05-15,0,1.32,2.57,17,26,645178,54295,0.1096,25,85,0.1413,0.2766,3.9,0,0,0,1,0,0,0,0,0,1,0,0
LOAN_000630,BORR_000630,12852,7.85,36,1403325,89975,3.46,3.1,458,158661,2022-10-15,1,0.08,5.0,47,78,1433264,122070,-0.074,290,96,0.0792,-0.086,5.9,0,0,0,0,1,0,0,1,0,0,0,0
LOAN_000631,BORR_000631,1614160,5.02,36,100494,660381,3.57,2.14,562,98423,2020-08-21,1,2.0,5.0,4,149,104465,9549,-0.0145,137,99,-0.0902,-0.2227,5.3,0,0,0,0,1,0,0,0,0,1,0,0
LOAN_000632,BORR_000632,128410,9.68,12,262818,62399,1.77,1.81,627,35242,2025-04-13,0,2.0,5.0,6,6,263124,19470,0.1683,14,77,-0.009,-0.0448,2.9,0,0,0,0,1,0,1,0,0,0,0,0
LOAN_000633,BORR_000633,85791,6.35,36,2060534,55884,3.96,3.19,659,90433,2022-02-28,0,0.95,5.0,29,1,2067151,163188,0.0296,6,22,-0.0412,-0.2243,6.7,1,0,0,0,0,1,0,0,0,0,0,0
LOAN_000634,BORR_000634,35662,9.9,36,1024931,60748,3.48,1.02,688,19179,2022-12-12,0,1.86,5.0,36,26,984668,77592,-0.1762,24,16,-0.1115,0.0516,5.0,1,0,0,0,0,0,0,0,1,0,0,0
LOAN_000635,BORR_000635,13598,13.19,120,7314864,204872,1.68,3.49,478,233596,2022-03-04,0,0.06,5.0,14,18,7276396,717801,0.0433,13,23,-0.1886,-0.1623,6.2,0,0,0,0,0,0,0,0,0,0,0,1
LOAN_000636,BORR_000636,559475,10.77,60,2436953,200846,3.64,2.29,827,21183,2020-06-27,0,2.0,5.0,52,0,2444901,199173,0.0585,16,46,0.1088,-0.114,5.3,1,0,0,0,0,0,0,0,0,0,0,1
LOAN_000637,BORR_000637,181675,10.97,36,378657,78611,3.14,2.26,630,141125,2023-08-01,1,1.29,5.0,49,158,368905,33878,-0.0837,144,68,-0.2427,-0.3262,7.2,0,1,0,0,0,0,0,1,0,0,0,0
LOAN_000638,BORR_000638,23507,9.95,120,2851293,160008,3.04,1.59,627,48546,2023-01-12,0,0.48,5.0,32,14,2785497,255412,0.2231,26,40,-0.1448,-0.0641,4.9,0,0,1,0,0,0,0,0,0,1,0,0
LOAN_000639,BORR_000639,23327,14.2,24,9342794,266947,0.52,1.26,566,163995,2024-06-18,0,0.14,5.0,49,9,9228143,696892,0.0057,1,14,-0.1454,0.0008,7.3,0,0,0,0,0,1,0,0,0,0,0,0
LOAN_000640,BORR_000640,98353,14.25,48,1102695,354699,0.58,2.64,536,188083,2023-10-17,0,0.52,5.0,52,5,1049773,89995,0.3351,28,85,-0.0303,0.046,4.4,0,0,0,0,1,0,0,0,0,0,0,0
LOAN_000641,BORR_000641,1989775,9.64,48,1950057,139935,2.93,1.78,726,129664,2022-09-11,0,2.0,2.44,47,2,1915361,184787,-0.2439,8,51,0.2103,-0.0851,2.3,0,1,0,0,0,0,1,0,0,0,0,0
LOAN_000642,BORR_000642,110261,7.36,12,3237970,58395,1.48,1.62,687,55677,2023-03-22,0,1.98,5.0,5,2,3144537,259445,0.0829,12,33,-0.0212,0.1654,6.1,0,0,0,0,0,1,0,0,0,0,0,0
LOAN_000643,BORR_000643,17073,9.06,60,984426,58499,0.7,1.24,659,141374,2024-04-06,0,0.12,5.0,51,15,967444,94974,-0.0998,4,59,-0.1704,-0.0262,3.2,0,0,1,0,0,0,1,0,0,0,0,0
LOAN_000644,BORR_000644,112576,6.05,12,95015,229068,1.5,2.24,662,12285,2021-08-11,1,2.0,5.0,1,126,91402,6746,-0.1655,86,72,-0.3373,-0.1877,4.8,0,0,0,0,0,0,0,1,0,0,0,0
LOAN_000645,BORR_000645,108111,11.0,24,2343288,417627,3.43,2.39,673,440892,2024-01-04,0,0.25,5.0,22,19,2434799,168338,-0.0103,22,32,-0.0227,0.0389,4.0,0,1,0,0,0,0,0,0,0,0,0,0
LOAN_000646,BORR_000646,2848,9.5,24,3139922,197987,2.15,2.0,691,235081,2023-01-04,0,0.01,5.0,20,5,3169309,305463,-0.1986,20,20,-0.3136,0.2995,5.4,0,0,0,0,0,0,0,0,0,0,0,0
LOAN_000647,BORR_000647,150025,5.14,84,6960706,98460,2.65,0.83,603,12277,2020-11-27,0,2.0,5.0,51,20,7085373,672562,-0.0042,0,23,0.0035,0.0553,5.5,0,1,0,0,0,0,0,0,0,0,0,0
LOAN_000648,BORR_000648,115104,6.17,60,321165,77599,3.3,2.13,698,450085,2023-11-06,0,0.26,5.0,25,12,330452,32963,0.0252,8,19,-0.0177,-0.0494,5.5,0,0,0,0,0,0,0,0,0,0,0,1
LOAN_000649,BORR_000649,462457,9.28,60,339464,464463,1.63,1.53,644,4157,2025-01-25,0,2.0,5.0,24,20,339411,30313,0.1878,23,67,0.0935,-0.2241,6.1,0,0,0,0,0,0,0,0,0,0,1,0
LOAN_000650,BORR_000650,2606279,13.76,48,526026,32999,0.54,1.17,544,145972,2022-11-13,0,2.0,0.5,58,1,504296,49365,-0.2061,15,59,0.2319,-0.0279,4.3,0,0,0,0,0,0,0,0,0,0,0,1
LOAN_000651,BORR_000651,881911,10.23,36,983136,87717,1.63,2.36,691,17140,2020-12-25,0,2.0,2.74,45,1,986784,92986,0.1563,18,45,0.1452,0.0402,3.9,0,1,0,0,0,0,1,0,0,0,0,0
LOAN_000652,BORR_000652,108734,11.5,48,2294623,1058088,3.85,2.61,560,63263,2021-10-05,0,1.72,5.0,56,17,2314549,219452,0.0347,25,32,-0.0223,-0.0531,3.6,0,0,0,0,0,0,1,0,0,0,0,0
LOAN_000653,BORR_000653,30952,7.73,36,313225,744353,2.19,2.2,557,118570,2020-01-21,0,0.26,5.0,57,15,320912,27482,0.1743,2,30,-0.1228,-0.2448,3.9,0,0,1,0,0,0,0,0,0,1,0,0
LOAN_000654,BORR_000654,7725520,10.29,24,3756908,211132,2.49,2.46,723,307731,2021-11-26,0,2.0,0.54,53,13,3731233,296305,-0.0448,2,33,0.3188,-0.1226,4.8,0,0,1,0,0,0,0,1,0,0,0,0
LOAN_000655,BORR_000655,177873,8.92,60,3536189,86520,3.16,2.44,589,65681,2020-03-07,1,2.0,5.0,52,63,3404494,333022,-0.2861,302,68,0.0558,0.0197,5.5,1,0,0,0,0,0,0,1,0,0,0,0
LOAN_000656,BORR_000656,166191,11.25,24,3659537,117094,0.9,1.14,564,37778,2025-06-04,0,2.0,5.0,3,13,3580408,290265,-0.1626,17,29,0.0117,0.2201,6.6,1,0,0,0,0,0,0,0,1,0,0,0
LOAN_000657,BORR_000657,156970,4.56,24,828700,182085,3.07,1.38,604,13275,2024-05-10,0,2.0,5.0,22,1,817353,69170,-0.1738,24,4,0.0071,-0.128,5.6,1,0,0,0,0,0,0,0,0,0,0,1
LOAN_000658,BORR_000658,219065,9.43,60,82288,2520764,1.54,0.83,580,77228,2024-10-08,0,2.0,5.0,54,18,83488,6807,0.0917,19,40,0.0338,0.1059,4.7,1,0,0,0,0,0,0,0,0,0,0,1
LOAN_000659,BORR_000659,131066,7.26,60,8215530,616355,1.86,3.45,839,9998,2024-12-09,0,2.0,5.0,11,27,8273678,707349,0.2415,6,44,-0.0073,-0.1718,3.9,1,0,0,0,0,0,0,1,0,0,0,0
LOAN_000660,BORR_000660,68837,7.59,48,590387,518962,1.44,1.37,650,170569,2024-08-29,0,0.4,5.0,35,13,581891,47918,-0.0647,23,86,-0.0588,0.2156,7.2,0,0,1,0,0,1,0,0,0,0,0,0
LOAN_000661,BORR_000661,71661,14.57,36,2845184,133011,1.04,3.0,701,80361,2020-02-09,0,0.89,5.0,12,6,2983606,203677,0.1144,15,60,-0.0556,0.0418,3.4,0,0,0,0,1,0,1,0,0,0,0,0
LOAN_000662,BORR_000662,154951,6.01,36,1391674,85374,1.77,2.91,744,114063,2024-01-29,0,1.36,5.0,50,6,1406394,135109,-0.2085,20,12,0.0061,0.1474,4.8,0,0,0,0,0,0,0,0,0,0,0,0
LOAN_000663,BORR_000663,72031,7.42,60,4659789,126014,0.83,2.7,665,256771,2025-04-04,0,0.28,5.0,19,18,4537342,369701,0.047,23,8,-0.0552,-0.2523,4.1,0,0,1,0,0,0,0,0,0,0,1,0
LOAN_000664,BORR_000664,55867,9.61,60,1130812,593766,3.46,2.01,750,138657,2024-05-30,0,0.4,5.0,9,10,1085781,93700,0.1203,3,77,-0.0755,0.1066,5.0,0,0,1,0,0,0,0,1,0,0,0,0
LOAN_000665,BORR_000665,190926,13.49,48,1306060,1347613,1.57,2.38,714,359544,2024-03-25,0,0.53,5.0,28,21,1260721,89897,-0.1972,12,80,0.0228,0.0038,4.8,0,0,0,1,0,0,0,0,0,0,0,0
LOAN_000666,BORR_000666,111027,8.58,120,1492395,53684,2.79,1.3,696,26331,2024-06-01,1,2.0,5.0,16,85,1454481,97129,-0.1776,336,114,0.0079,-0.1112,2.9,0,0,0,0,1,0,1,0,0,0,0,0
LOAN_000667,BORR_000667,1553451,12.18,120,1984921,8219,1.54,1.09,663,68103,2023-06-19,0,2.0,0.5,17,1,1917568,143516,0.1274,1,17,0.1905,0.1422,5.7,0,1,0,0,0,0,0,0,0,0,1,0
LOAN_000668,BORR_000668,3051,13.42,36,273110,117481,1.24,1.75,736,16944,2024-04-27,0,0.18,5.0,36,24,264549,23849,-0.4201,18,11,-0.3081,0.0149,6.0,0,0,0,0,1,0,0,0,1,0,0,0
LOAN_000669,BORR_000669,836732,7.41,60,11418569,646488,3.0,3.03,480,9448,2020-08-11,0,2.0,5.0,41,3,11173178,781822,0.2203,13,40,0.141,-0.0851,4.1,0,0,0,1,0,0,0,0,0,1,0,0
LOAN_000670,BORR_000670,1055080,8.32,48,1104814,77513,2.68,2.32,643,26912,2023-09-10,0,2.0,2.65,32,5,1068727,103626,0.0731,5,15,0.1595,0.122,6.8,0,0,1,0,0,1,0,0,0,0,0,0
LOAN_000671,BORR_000671,7258,7.92,48,2397892,293158,1.26,2.86,630,54803,2024-08-31,0,0.13,5.0,45,1,2493032,184070,0.1275,25,12,-0.2388,-0.004,6.1,0,0,0,0,1,0,0,0,1,0,0,0
LOAN_000672,BORR_000672,97340,13.16,12,7415071,37712,2.64,3.2,650,139566,2022-12-15,0,0.7,4.11,39,10,7103811,522033,-0.0419,12,17,-0.0311,-0.1259,5.5,0,0,0,0,0,0,0,1,0,0,0,0
LOAN_000673,BORR_000673,93231,4.49,48,1191334,111040,0.52,2.31,740,54272,2024-03-06,0,1.72,5.0,11,14,1194254,86842,-0.2384,21,75,-0.0346,-0.133,7.4,1,0,0,0,0,1,0,0,0,0,0,0
LOAN_000674,BORR_000674,19707,7.39,84,363945,58381,1.12,1.79,640,151096,2023-06-21,0,0.13,5.0,13,13,360683,24213,0.1001,27,50,-0.1589,-0.2166,6.3,0,0,0,0,0,0,0,0,1,0,0,0
LOAN_000675,BORR_000675,50679,11.47,60,350326,133436,3.05,3.11,582,1084292,2021-08-10,1,0.05,5.0,57,104,367224,33929,0.0311,342,73,0.0909,0.1701,3.5,0,0,0,0,1,0,1,0,0,0,0,0
LOAN_000676,BORR_000676,30765,10.22,60,701035,211913,1.94,1.42,466,14436,2024-02-28,0,2.0,5.0,36,13,673837,64576,0.0248,11,69,-0.1233,0.1704,4.8,0,0,1,0,0,0,0,1,0,0,0,0
LOAN_000677,BORR_000677,2254425,8.8,24,1794104,399604,1.21,0.87,639,130328,2025-06-17,0,2.0,3.62,9,2,1775778,154739,0.1831,29,81,0.2203,0.0317,6.4,0,0,1,0,0,0,0,0,0,0,0,1
LOAN_000678,BORR_000678,662328,9.94,36,2033962,94348,2.27,0.94,727,17971,2023-10-10,0,2.0,3.95,52,2,2129450,155322,0.1343,22,66,0.1223,-0.0745,8.9,0,0,0,1,0,0,0,0,1,0,0,0
LOAN_000679,BORR_000679,1096169,6.17,24,4666103,37145,2.13,2.37,640,224050,2025-02-18,0,2.0,0.72,44,13,4836652,368436,0.3082,11,53,0.1626,0.1257,6.6,0,1,0,0,0,1,0,0,0,0,0,0
LOAN_000680,BORR_000680,480464,8.74,36,190241,22543,2.72,3.21,667,159560,2020-06-23,0,2.0,1.34,40,19,196273,16198,0.0431,10,5,0.0966,-0.1199,7.9,0,0,0,0,0,1,0,0,0,0,0,0
LOAN_000681,BORR_000681,29924,9.52,48,1569147,664776,0.75,2.32,643,6658,2020-02-09,0,2.0,5.0,6,15,1531158,150785,-0.0837,13,35,-0.1255,0.0193,4.5,0,0,0,1,0,0,0,0,0,1,0,0
LOAN_000682,BORR_000682,74103,13.91,36,2517579,56417,3.37,1.9,702,27168,2024-09-15,0,2.0,5.0,46,16,2434722,182389,-0.0083,3,54,-0.0529,-0.0219,6.7,0,1,0,0,0,0,0,0,0,0,0,1
LOAN_000683,BORR_000683,339103,6.87,48,2406737,318165,0.7,2.36,674,1721486,2022-02-12,0,0.2,5.0,19,12,2447324,222840,0.0823,12,49,0.0687,0.1219,5.7,1,0,0,0,0,0,0,0,0,0,0,0
LOAN_000684,BORR_000684,26024,13.55,36,66155,20552,2.09,2.61,646,8256,2020-03-16,0,2.0,5.0,24,21,68995,5610,0.1724,7,85,-0.1367,-0.2316,4.4,0,0,0,0,0,0,0,0,0,0,1,0
LOAN_000685,BORR_000685,474253,11.09,36,769596,1252829,2.99,2.85,532,9525,2022-01-25,0,2.0,5.0,35,1,773964,59281,-0.2001,23,70,0.0956,-0.1225,7.5,0,0,1,0,0,1,0,0,0,0,0,0
LOAN_000686,BORR_000686,113494,4.22,12,3192989,6069829,1.71,1.74,583,138352,2025-05-08,0,0.82,5.0,37,11,3215854,263262,0.0213,26,65,-0.0188,-0.2407,7.1,0,0,0,0,0,1,0,0,0,0,0,0
LOAN_000687,BORR_000687,92759,11.97,84,453636,249767,3.69,1.84,660,58539,2020-03-12,0,1.58,5.0,46,29,443655,30630,0.2614,22,14,-0.035,-0.0339,3.7,0,0,1,0,0,0,0,0,0,1,0,0
LOAN_000688,BORR_000688,472805,4.39,12,289656,111723,3.14,0.86,741,9566,2020-07-28,0,2.0,2.72,42,20,297462,27750,-0.016,2,21,0.0953,0.1867,4.9,0,0,1,0,0,0,0,0,0,0,0,0
LOAN_000689,BORR_000689,316916,14.97,12,2365923,1056449,1.99,2.55,648,166649,2023-08-12,0,1.9,5.0,30,21,2291879,171379,0.1597,13,48,0.0633,-0.0708,4.2,1,0,0,0,0,0,0,1,0,0,0,0
LOAN_000690,BORR_000690,94707,13.6,60,1722007,85400,1.14,2.9,662,203876,2021-01-07,1,0.46,5.0,12,65,1691644,153680,-0.0127,330,30,-0.2743,0.0332,6.9,1,0,0,0,0,1,0,0,0,0,0,0
LOAN_000691,BORR_000691,926338,7.27,120,1585786,173769,0.65,2.18,611,6023,2022-05-22,0,2.0,5.0,22,3,1573961,108516,0.1634,17,7,0.1491,0.1358,5.3,0,0,0,0,1,0,0,0,0,0,1,0
LOAN_000692,BORR_000692,32157,6.83,60,553735,4464,3.31,1.82,651,1123708,2020-03-20,0,0.03,5.0,48,27,554156,54586,-0.1015,10,7,-0.1197,0.1653,7.6,0,1,0,0,0,1,0,0,0,0,0,0
LOAN_000693,BORR_000693,409996,8.2,12,248301,147240,1.18,1.7,673,245883,2025-04-13,0,1.67,3.98,18,4,241905,17683,-0.1008,12,83,0.0839,-0.0083,5.1,0,0,0,1,0,0,0,0,0,0,1,0
LOAN_000694,BORR_000694,396191,7.92,24,3757751,732006,1.44,2.54,708,95140,2023-01-07,0,2.0,5.0,23,3,3613016,347179,0.023,22,36,0.0812,0.1077,6.5,1,0,0,0,0,0,0,0,0,0,0,0
LOAN_000695,BORR_000695,102301,8.1,120,65979740,89461,0.54,1.69,514,17999,2022-02-14,0,2.0,5.0,24,2,66709608,6247295,-0.2098,29,71,-0.0271,-0.1565,3.6,0,0,0,0,1,0,1,0,0,0,0,0
